------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <F:\fpga_project\trng_data.bin>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
100   0   0   0   0   0   0   0   0   0  0.000000 *    1/100  *  NonOverlappingTemplate
100   0   0   0   0   0   0   0   0   0  0.000000 *    0/100  *  NonOverlappingTemplate
100   0   0   0   0   0   0   0   0   0  0.000000 *    0/100  *  OverlappingTemplate
100   0   0   0   0   0   0   0   0   0  0.000000 *    0/100  *  Universal
100   0   0   0   0   0   0   0   0   0  0.000000 *    0/100  *  ApproximateEntropy
 27   0   0   0   0   0   0   0   0   0  0.000000 *    4/27   *  RandomExcursions
  1   0   0   0   0   0   0   0   0   0     ----       0/1       RandomExcursions
  0   0   0   0   0   0   0   0   0   0     ----     ------     RandomExcursions
  1   0   0   0   0   0   0   0   0   0     ----       0/1       RandomExcursions
  0   0   0   0   0   0   0   0   0   0     ----     ------     RandomExcursions
  0   0   0   0   0   0   0   0   0   0     ----     ------     RandomExcursions
  2   0   0   0   0   0   0   0   0   0     ----       0/2    *  RandomExcursions
 27   0   0   0   0   0   0   0   0   0  0.000000 *    1/27   *  RandomExcursions
 25   8   8  12   7   5   6   2   5   3  0.000000 *   74/81   *  RandomExcursionsVariant
 27  11   7   9   4   7   6   4   1   5  0.000000 *   73/81   *  RandomExcursionsVariant
 25  14   6   7   7   7   3   6   2   4  0.000000 *   73/81   *  RandomExcursionsVariant
 23  12   6   8   6   4   7   6   5   4  0.000028 *   72/81   *  RandomExcursionsVariant
 23  14   6   5   4   2   2  10   5  10  0.000000 *   71/81   *  RandomExcursionsVariant
 21  10   8   8   6   8   3   6   6   5  0.001212     74/81   *  RandomExcursionsVariant
 22   9  10   5   6   6   4   5   7   7  0.000343     75/81   *  RandomExcursionsVariant
 19   8   4   9   6   5   5  10   9   6  0.012107     77/81      RandomExcursionsVariant
 17   7   7  10  12   2   8   6   8   4  0.018700     78/81      RandomExcursionsVariant
 18   8  10   9   6   6   7   5   6   6  0.059452     79/81      RandomExcursionsVariant
 17  10  10   8   2   9   7   8   4   6  0.031064     76/81   *  RandomExcursionsVariant
 18   7  13   7   6   4   9   4   6   7  0.012107     76/81   *  RandomExcursionsVariant
 24  11   6   7   4   6   8   4   7   4  0.000006 *   72/81   *  RandomExcursionsVariant
 28   4   9   6   7   4   3   5   4  11  0.000000 *   69/81   *  RandomExcursionsVariant
 27   9   5   6   7   5   5   4   5   8  0.000000 *   72/81   *  RandomExcursionsVariant
 30   6   6   6   7   5   2   8   5   6  0.000000 *   70/81   *  RandomExcursionsVariant
 26  12   7   9   3   6   4   4   4   6  0.000000 *   72/81   *  RandomExcursionsVariant
 23  15  11   5   5   5   9   2   2   4  0.000000 *   72/81   *  RandomExcursionsVariant
100   0   0   0   0   0   0   0   0   0  0.000000 *    0/100  *  Serial
100   0   0   0   0   0   0   0   0   0  0.000000 *    0/100  *  Serial
  9  13   8  12  12  11  12  10   5   8  0.779188    100/100     LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 96 for a
sample size = 100 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 77 for a sample size = 81 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
